The Shawshank Redemption
The Godfather
The Dark Knight
The Godfather Part II
12 Angry Men
Schindler's List
The Lord of the Rings: The Return of the King
Pulp Fiction
The Lord of the Rings: The Fellowship of the Ring
"The Good, the Bad and the Ugly"
Forrest Gump
Fight Club
Spider-Man: Across the Spider-Verse
The Lord of the Rings: The Two Towers
Inception
Star Wars: Episode V - The Empire Strikes Back
The Matrix
GoodFellas
One Flew Over the Cuckoo's Nest
Seven
It's a Wonderful Life
Seven Samurai
The Silence of the Lambs
Saving Private Ryan
City of God
Interstellar
Life Is Beautiful
The Green Mile
Star Wars: Episode IV - A New Hope
Terminator 2: Judgment Day
Back to the Future
Spirited Away
The Pianist
Psycho
Parasite
Leon
The Lion King
Gladiator
American History X
The Departed
Whiplash
The Prestige
The Usual Suspects
Casablanca
Grave of the Fireflies
Harakiri
Untouchable
Modern Times
Cinema Paradiso
Once Upon a Time in the West
Rear Window
Alien
City Lights
Apocalypse Now
Memento
Django Unchained
Raiders of the Lost Ark
WALL E
The Lives of Others
Sunset Blvd.
Paths of Glory
Avengers: Infinity War
The Shining
The Great Dictator
Witness for the Prosecution
Spider-Man: Into the Spider-Verse
Aliens
American Beauty
The Dark Knight Rises
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Inglourious Basterds
Oldboy
Coco
Amadeus
Toy Story
Braveheart
Das Boot
Joker
Avengers: Endgame
Princess Mononoke
Good Will Hunting
Once Upon a Time in America
Your Name.
3 Idiots
Singin' in the Rain
High and Low
Requiem for a Dream
Capernaum
Toy Story 3
Star Wars: Episode VI - Return of the Jedi
Come and See
Eternal Sunshine of the Spotless Mind
2001: A Space Odyssey
The Hunt
Reservoir Dogs
Lawrence of Arabia
Citizen Kane
Ikiru
M
North by Northwest
The Apartment
Vertigo
Amelie
Double Indemnity
A Clockwork Orange
Full Metal Jacket
Scarface
Hamilton
Incendies
Heat
Up
To Kill a Mockingbird
The Sting
A Separation
Indiana Jones and the Last Crusade
Metropolis
Die Hard
L.A. Confidential
Snatch
Bicycle Thieves
Taxi Driver
Like Stars on Earth
1917
Dangal
Downfall
Top Gun: Maverick
For a Few Dollars More
Batman Begins
The Kid
Some Like It Hot
The Father
The Wolf of Wall Street
All About Eve
Green Book
Judgment at Nuremberg
The Truman Show
Ran
Casino
There Will Be Blood
Pan's Labyrinth
Shutter Island
Unforgiven
The Sixth Sense
Jurassic Park
A Beautiful Mind
The Treasure of the Sierra Madre
Yojimbo
No Country for Old Men
Monty Python and the Holy Grail
Kill Bill: Vol. 1
The Great Escape
The Thing
Rashomon
Finding Nemo
Spider-Man: No Way Home
The Elephant Man
Chinatown
V for Vendetta
Raging Bull
Gone with the Wind
Dial M for Murder
Howl's Moving Castle
"Lock, Stock and Two Smoking Barrels"
Inside Out
The Secret in Their Eyes
Prisoners
"Three Billboards Outside Ebbing, Missouri"
Trainspotting
The Bridge on the River Kwai
Fargo
Warrior
Gran Torino
Catch Me If You Can
My Neighbour Totoro
Million Dollar Baby
Children of Heaven
Klaus
Harry Potter and the Deathly Hallows: Part 2
Blade Runner
The Gold Rush
12 Years a Slave
Before Sunrise
The Grand Budapest Hotel
Ben-Hur
Gone Girl
On the Waterfront
Barry Lyndon
The General
In the Name of the Father
Wild Strawberries
Hacksaw Ridge
The Deer Hunter
The Third Man
Memories of Murder
The Wages of Fear
Sherlock Jr.
Wild Tales
Mad Max: Fury Road
Mr. Smith Goes to Washington
Dead Poets Society
Mary and Max
"Monsters, Inc."
How to Train Your Dragon
Jaws
The Seventh Seal
Room
Tokyo Story
The Big Lebowski
Le Mans '66
The Passion of Joan of Arc
Ratatouille
Hotel Rwanda
Rocky
Platoon
Logan
Spotlight
The Terminator
Jai Bhim
Before Sunset
Rush
Network
Stand by Me
Guardians of the Galaxy Vol. 3
The Best Years of Our Lives
Into the Wild
The Wizard of Oz
La haine
The Incredibles
The Exorcist
Pirates of the Caribbean: The Curse of the Black Pearl
To Be or Not to Be
Groundhog Day
My Father and My Son
The Battle of Algiers
The Grapes of Wrath
Hachi: A Dog's Tale
The Handmaiden
Pather Panchali
Amores perros
Rebecca
Cool Hand Luke
The Sound of Music
It Happened One Night
The 400 Blows
Persona
The Iron Giant
The Help
Life of Brian
Aladdin
Dances with Wolves
